59;FIGUEROA BUNGE Y BECCAR VARELA.;Casa en San Isidro.;0;Julio;1942
60;RAFAEL M. MEMBRIVES, ING. CIV.;Casa Porticular en Acassuso.;0;Julio;1942
61;;DECORACION DE INTERIORES.;0;julio;1942
62;C. Y H. CIVELLI, AROS.;Dos Casas Económicas.;0;julio;1942
63;ALEJANDRO BUSTILLO, ARQ.;Casa en Nahuel Huapi.;0;julio;1942
64;FIGUEROA BUNGE Y BECCAR VARELA, ARQS.;Casa Particular en Olivos.;0;julio;1942
65;PEREYRA IRAOLA Y BERRO MADERO, ARQS.;Chalet en San Isidro.;0;julio;1942
66;RAFAEL M. MEMBRIVES, ING. CIV.;Chalet en Acassuso.;0;julio;1942
67;ALFARO, VERBRUGGHE Y WILLIS, ARQS.;Casa en Mar del Plata.;0;julio;1942
68;JOSE ENGLANDER, PROYECTISTA.;Edificio para Fábrica y Oficinas.;0;Agosto;1942
69;JOSE AISENSON, ARQ.;Casa Particular.;0;Agosto;1942
70;ASLAN Y EZCURRA, ARQS.;Casas para renta en Acassuso.;0;agosto;1942
71;PRINCIPIOS DE LA PLANOLOGIA.;Mensaje de Los Amigos de la Ciudad al Tercer Congreso de Ingeniería celebrado en Cordoba.;0;agosto;1942
72;;DOS PAGINAS DE AMUEBLAMIENTO.;0;agosto;1942
73;VARGAS Y ARANDA, ARQS.;Construcciones para renta.;0;agosto;1942
74;FEDERICO RUIZ GUINAZU, ARQ.;Casa de Departamentos Económicos.;0;agosto;1942
75;HORACIO E. NAZAR (H.), ARQ.;Casa Individual en Martínez.;0;agosto;1942
76;ASLAN Y EZCURRA, ARQS.;Casa en Hurlingham.;0;agosto;1942
77;JEAN ROYERE, DECORADOR, PARIS.;Una página de Decoración.;0;agosto;1942
78;HECTOR C. MORIXE, ARQ.;Dos Casas Habitación para Renta.;0;Septiembre;1942
79;ALEJANDRO ENQUIN, ING. CIVIL.;Casa de Renta en Belgrano.;0;Septiembre;1942
80;ROBERTO A. CHAMPION, ARQ.;Casa Particular en Anchorena.;0;septiembre;1942
81;ALFREDO P. ETCHEVERRY, ARQ.;Casa en la Capital.;0;septiembre;1942
82;OSCAR L. LOPEZ, ING. CIVIL.;Casa Particular.;0;septiembre;1942
83;HORACIO E. NAZAR (H.).;Casa habitación en Martinez.;0;septiembre;1942
84;CARLOS F. LANGE, ARQ.;Casa para un médico.;0;septiembre;1942
85;ALFREDO P. ETCHEVERRY, ARQ.;Vivienda en Olivos.;0;septiembre;1942
86;;Notas Varias.;0;septiembre;1942
87;LYMAN O. DUDLEY, ARQ.;Residencia de Campo.;0;Octubre;1942
